Postcode,School count,Education sector,School number,Name,Town/city,Longitude,Latitude,medianSoldPrice,numberSold
3199,17,Government,1464.0,Frankston Primary School,Frankston,145.1240309,-38.14755735,906000.0,367.0
3199,17,Government,4682.0,Frankston East Primary School,Frankston,145.145528,-38.14663,906000.0,367.0
3199,17,Government,4780.0,Overport Primary School,Frankston,145.126972,-38.160488,906000.0,367.0
3199,17,Government,4815.0,Frankston Heights Primary School,Frankston,145.147173,-38.161808,906000.0,367.0
3199,17,Government,4922.0,Karingal Primary School,Frankston,145.152277,-38.137924,906000.0,367.0
3199,17,Government,4996.0,Derinya Primary School,Frankston South,145.120945,-38.174436,906000.0,367.0
3199,17,Government,5005.0,Ballam Park Primary School,Frankston,145.158282,-38.147457,906000.0,367.0
3199,17,Government,5053.0,Karingal Heights Primary School,Frankston,145.166813,-38.141476000000004,906000.0,367.0
3199,17,Government,5080.0,Naranga Special School,Frankston,145.163005,-38.147158000000005,906000.0,367.0
3199,17,Government,5135.0,Kingsley Park Primary School,Frankston,145.15570400000001,-38.168079999999996,906000.0,367.0
3199,17,Government,5143.0,Frankston Special Developmental School,Frankston,145.170197,-38.143298,906000.0,367.0
3199,17,Government,7028.0,Mount Erin Secondary College,Frankston South,145.14663000000002,-38.174118,906000.0,367.0
3199,17,Government,7850.0,Frankston High School,Frankston,145.129706,-38.162156,906000.0,367.0
3199,17,Government,8835.0,McClelland Secondary College,Frankston,145.158453,-38.14632,906000.0,367.0
3199,17,Catholic,1280.0,St Francis Xavier School,FRANKSTON,145.1262013,-38.14879945,906000.0,367.0
3199,17,Catholic,1670.0,John Paul College,FRANKSTON,145.138867,-38.13557,906000.0,367.0
3199,17,Catholic,1808.0,St Augustine's School,FRANKSTON SOUTH,145.145871,-38.172048,906000.0,367.0
3200,3,Government,4939.0,Mahogany Rise Primary School,Frankston North,145.157399,-38.125617,490000.0,91.0
3200,3,Government,5043.0,Aldercourt Primary School,Frankston North,145.161618,-38.116618,490000.0,91.0
3200,3,Government,8809.0,Monterey Secondary College,Frankston North,145.147724,-38.126124,490000.0,91.0
3201,4,Government,3613.0,Banyan Fields Primary School,Carrum Downs,145.18790900000002,-38.094598,590000.0,364.0
3201,4,Government,5313.0,Rowellyn Park Primary School,Carrum Downs,145.192454,-38.104424,590000.0,364.0
